epoch,binary_accuracy,cohen_kappa,f1_score,loss,lr,precision,recall,val_binary_accuracy,val_cohen_kappa,val_f1_score,val_loss,val_precision,val_recall
0,0.7538306713104248,0.47915512323379517,0.6767045855522156,0.5180413722991943,1e-05,0.7209213972091675,0.6375983357429504,0.7921760678291321,0.5507357120513916,0.7100075483322144,0.46305766701698303,0.7916314601898193,0.6436426043510437
1,0.7799022197723389,0.534062922000885,0.7099834084510803,0.48002779483795166,1e-05,0.7639638185501099,0.6631279587745667,0.8107851147651672,0.5892207622528076,0.7324755191802979,0.44037121534347534,0.8302133083343506,0.6553264856338501
2,0.7973239421844482,0.5720800161361694,0.7352733016014099,0.45097488164901733,1e-05,0.7832908034324646,0.6928027868270874,0.7935343384742737,0.5706260204315186,0.7431564927101135,0.45897459983825684,0.7310505509376526,0.7556701302528381
3,0.8120288252830505,0.6038672924041748,0.7559846639633179,0.4281947910785675,1e-05,0.799813449382782,0.7167098522186279,0.8173050880432129,0.6069682836532593,0.7488328218460083,0.4240095019340515,0.8200408816337585,0.6890034079551697
4,0.8241527080535889,0.6297004818916321,0.7722954750061035,0.4062303602695465,1e-05,0.8147907853126526,0.7340131998062134,0.816490113735199,0.6138648390769958,0.7638524770736694,0.42985999584198,0.7773034572601318,0.7508590817451477
5,0.8331182599067688,0.6491727828979492,0.785095751285553,0.38878583908081055,1e-05,0.8232596516609192,0.7503134608268738,0.8158109188079834,0.6117151975631714,0.7616872191429138,0.4314284920692444,0.779496431350708,0.7446735501289368
6,0.846430778503418,0.6780122518539429,0.8039368391036987,0.36535900831222534,1e-05,0.8351500034332275,0.7749728560447693,0.8182559013366699,0.6121707558631897,0.7561953067779541,0.4455268681049347,0.8048875331878662,0.7130584120750427
7,0.8520681858062744,0.6898322701454163,0.8111342191696167,0.35415834188461304,1e-05,0.8426268100738525,0.7819108963012695,0.8044009804725647,0.5950456261634827,0.7597597241401672,0.4594275653362274,0.7383268475532532,0.7824742197990417
8,0.8637845516204834,0.7150179147720337,0.8273130059242249,0.3247712254524231,1e-05,0.8529829382896423,0.8031430244445801,0.8170334100723267,0.6178449392318726,0.769546627998352,0.4485454857349396,0.7662691473960876,0.7728522419929504
9,0.8762140870094299,0.7409946918487549,0.843016505241394,0.30254945158958435,1e-05,0.8694918155670166,0.8181058168411255,0.8129584193229675,0.6088223457336426,0.7635238766670227,0.45833703875541687,0.763130784034729,0.7639175057411194
